,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2
112,321.2,1790.3,1899.7,635.0,1687.9,1998.0,1727.3,1891.8,306.6,1579.7,1739.6,1312.6,1792.6,2041.9,1656.7,1762.9,310.8,2221.3,2266.6,2028.6,2162.2,1910.7,2057.4,2352.6,312.1,2164.6,2177.5,2017.1,2186.8,1952.5,2015.4,2139.5,302.9,2226.4,2331.0,2201.0,2689.4,2088.2,2296.4,2619.5,311.9,2150.4,1813.1,1987.6,2583.0,1922.9,2312.8,2640.7
113,321.1,1786.5,1899.2,635.0,1685.3,1995.6,1736.8,1890.0,306.2,1584.2,1744.5,1313.8,1796.1,2043.5,1670.3,1769.3,310.8,2229.3,2268.2,2010.0,2162.4,1910.2,2068.6,2354.6,311.8,2162.2,2178.8,2010.3,2186.3,1953.7,2019.1,2153.9,302.6,2216.5,2342.0,2208.3,2704.1,2099.7,2290.2,2647.6,311.3,2153.8,1816.2,1994.1,2577.6,1940.0,2319.4,2640.0
114,321.0,1785.0,1892.9,635.4,1689.7,1996.6,1738.6,1893.3,306.1,1588.7,1745.2,1319.1,1799.0,2042.9,1676.2,1763.6,310.7,2234.5,2264.5,2021.9,2152.7,1923.4,2074.8,2360.1,312.0,2163.1,2189.9,2016.0,2194.6,1944.8,2008.9,2156.4,302.7,2215.8,2348.5,2222.2,2704.5,2101.1,2294.4,2641.4,311.7,2152.7,1831.8,2013.7,2581.2,1945.1,2319.8,2632.6
115,321.1,1781.4,1888.0,636.2,1692.4,1996.0,1739.5,1892.3,306.3,1586.4,1747.9,1321.2,1801.5,2055.9,1672.3,1759.6,310.8,2243.3,2263.0,2016.9,2154.7,1928.1,2077.4,2363.0,311.7,2164.1,2196.7,2009.5,2202.0,1938.0,1996.0,2151.2,302.5,2206.1,2352.9,2238.1,2704.0,2089.0,2304.6,2647.4,311.1,2146.9,1849.5,2026.4,2588.0,1947.9,2319.7,2624.0
116,321.0,1782.2,1888.7,635.5,1684.8,2000.8,1743.8,1890.1,305.8,1586.9,1740.5,1328.4,1796.0,2064.4,1674.3,1757.4,310.6,2236.8,2257.4,2010.2,2157.9,1925.7,2075.0,2349.6,311.9,2163.0,2197.3,2014.7,2203.7,1931.5,2002.4,2156.6,302.7,2209.0,2352.2,2246.5,2701.6,2088.3,2312.1,2649.9,311.6,2146.5,1864.0,2046.4,2598.1,1953.5,2328.0,2623.8
117,321.0,1776.7,1895.4,636.8,1682.8,2000.6,1739.0,1900.7,306.3,1588.2,1735.5,1323.6,1799.2,2058.7,1667.5,1756.1,310.6,2232.6,2257.6,2019.9,2165.3,1933.6,2077.8,2351.7,311.9,2170.8,2182.7,2016.5,2216.5,1942.3,2002.5,2159.8,302.3,2208.2,2345.4,2243.0,2697.4,2093.7,2310.7,2656.6,311.1,2146.4,1875.0,2059.4,2615.0,1963.4,2323.7,2622.3
118,320.8,1771.4,1898.1,636.3,1680.5,2007.1,1730.7,1908.9,305.8,1595.8,1735.1,1322.4,1793.5,2051.9,1672.9,1750.2,310.6,2231.5,2260.0,2016.4,2163.2,1927.5,2088.7,2360.4,311.5,2159.4,2191.6,2014.9,2217.9,1943.5,2013.2,2167.2,302.7,2203.3,2339.3,2231.6,2695.0,2095.6,2316.6,2655.4,311.5,2150.0,1885.0,2062.3,2627.1,1962.3,2319.2,2615.8
119,320.9,1769.9,1888.6,636.3,1681.1,2016.1,1736.8,1908.9,305.7,1601.8,1736.0,1321.8,1784.9,2050.8,1678.9,1755.0,310.5,2229.7,2275.3,2015.5,2162.1,1928.9,2081.1,2364.3,311.8,2153.5,2189.1,2015.3,2211.4,1934.2,2019.7,2158.4,302.4,2196.6,2349.8,2227.3,2693.3,2112.9,2316.5,2668.3,310.9,2152.1,1891.1,2075.2,2622.4,1962.7,2327.0,2616.3
120,320.8,1769.6,1887.3,636.1,1676.4,2009.3,1736.2,1902.3,306.1,1600.6,1736.1,1327.3,1779.0,2045.3,1681.9,1759.2,310.5,2213.7,2272.5,2018.1,2162.1,1933.1,2078.2,2372.8,311.6,2155.5,2168.7,2020.0,2206.4,1934.1,2025.2,2176.0,302.5,2206.4,2344.5,2245.6,2695.8,2111.3,2318.3,2659.3,311.3,2157.6,1900.6,2083.9,2628.7,1967.1,2327.2,2592.3
121,320.7,1776.8,1886.9,636.4,1676.2,2015.6,1738.2,1901.1,305.9,1597.9,1740.4,1331.5,1776.3,2044.3,1689.3,1760.4,310.6,2221.3,2272.9,2016.9,2165.7,1928.0,2082.2,2371.4,311.8,2153.7,2167.4,2021.6,2211.6,1929.5,2015.7,2187.5,302.3,2206.3,2338.6,2251.7,2692.0,2117.2,2318.4,2656.2,310.8,2156.6,1910.1,2086.9,2631.0,1972.4,2329.9,2577.2
