,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,2e_EMPTY WEL_1,2e_E548_1,2e_E549_1,2e_E550_1,2e_CONTROL_1,2e_E551_1,2e_E552_1,2e_E553_1,2e_EMPTY WEL_2,2e_E548_2,2e_E549_2,2e_E550_2,2e_CONTROL_2,2e_E551_2,2e_E552_2,2e_E553_2,3e_EMPTY WELL_1,3e_E528_1,3e_E530_1,3e_E531_1,3e_CONTROL_1,3e_E533_1,3e_E534_1,3e_E535_1,3e_EMPTY WELL_2,3e_E528_2,3e_E530_2,3e_E531_2,3e_CONTROL_2,3e_E533_2,3e_E534_2,3e_E535_2,4e_EMPTY WELL_1,4e_E579_1,4e_E581_1,4e_E582_1,4e_CONTROL_1,4e_E585_1,4e_E586_1,4e_E587_1,4e_EMPTY WELL_2,4e_E579_2,4e_E581_2,4e_E582_2,4e_CONTROL_2,4e_E585_2,4e_E586_2,4e_E587_2,5e_EMPTY WELL_1,5e_E554_1,5e_E555_1,5e_E558_1,5e_CONTROL_1,5e_E559_1,5e_E560_1,5e_E561_1,5e_EMPTY WELL_2,5e_E554_2,5e_E555_2,5e_E558_2,5e_CONTROL_2,5e_E559_2,5e_E560_2,5e_E561_2,6e_EMPTY WELL_1,6e_E563_1,6e_E570_1,6e_E573_1,6e_CONTROL_1,6e_E576_1,6e_E577_1,6e_E578_1,6e_EMPTY WELL_2,6e_E563_2,6e_E570_2,6e_E573_2,6e_CONTROL_2,6e_E576_2,6e_E577_2,6e_E578_2,7e_EMPTY WELL_1,7e_E537_1,7e_E538_1,7e_E542_1,7e_CONTROL_1,7e_E543_1,7e_E545_1,7e_E546_1,7e_EMPTY WELL_2,7e_E537_2,7e_E538_2,7e_E542_2,7e_CONTROL_2,7e_E543_2,7e_E545_2,7e_E546_2,8e_CONTROL_1,8e_E482_1,8e_E484_1,8e_E485_1,8e_CONTROL_2,8e_E482_2,8e_E484_2,8e_E485_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2,10e_EMPTY WELL_1,10e_E454_1,10e_E456_1,10e_E461_1,10e_CONTROL_1,10e_E487_1,10e_E489_1,10e_E493_1,10e_EMPTY WELL_2,10e_E454_2,10e_E456_2,10e_E461_2,10e_CONTROL_2,10e_E487_2,10e_E489_2,10e_E493_2,11e_EMPTY WELL_1,11e_E498_1,11e_E503_1,11e_E504_1,11e_CONTROL_1,11e_E506_1,11e_E507_1,11e_E509_1,11e_EMPTY WELL_2,11e_E498_2,11e_E503_2,11e_E504_2,11e_CONTROL_2,11e_E506_2,11e_E507_2,11e_E509_2,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,13e_EMPTY WELL_1,13e_E612_1,13e_E625_1,13e_E639_1,13e_CONTROL_1,13e_E641_1,13e_E650_1,13e_E655_1,13e_EMPTY WELL_2,13e_E612_2,13e_E625_2,13e_E639_2,13e_CONTROL_2,13e_E641_2,13e_E650_2,13e_E655_2,freq
0 days 17:15:00,305.2,2027.9,2131.4,1993.0,2096.8,1847.2,1896.5,2296.5,305.9,2041.1,2053.2,1988.4,2225.3,1979.8,1999.5,2354.5,300.0,2068.5,2152.6,2289.7,2367.0,2203.8,2079.5,2135.6,312.5,2107.0,2217.6,2189.8,2304.6,2130.3,1973.7,2209.6,308.8,1775.4,1984.5,1772.4,2161.6,1829.6,1952.7,1961.7,313.4,1819.0,2030.8,2206.1,2086.9,1893.7,1957.2,1982.9,303.2,1692.8,1633.0,1791.6,2041.1,1934.3,1907.0,1760.1,304.1,1653.4,1561.1,1637.4,2040.3,2101.9,1963.4,1826.4,301.1,1981.3,1793.7,1970.3,1937.5,2028.2,1978.9,1986.7,306.0,1807.5,1740.7,2169.7,1823.2,2088.9,2002.1,1860.8,303.9,2001.2,2059.9,2233.3,2246.0,2164.4,2006.0,2134.0,305.2,2213.4,2123.8,2256.2,2129.9,2116.8,2009.1,2171.2,307.1,1886.6,1783.5,2145.3,2125.9,1987.5,1958.5,1761.3,311.0,1971.2,1798.8,2140.9,2342.5,2018.5,2034.9,2038.0,2034.7,1614.8,2034.4,1784.6,2064.8,1631.7,2086.3,1719.4,,,,,,,,,,,,,,,,,306.2,2104.9,1918.7,2275.1,2122.9,1796.1,1924.5,2187.6,311.0,1938.3,1971.9,2241.0,2168.7,1861.5,2058.6,2270.9,,,,,,,,,,,,,,,,,314.0,1885.3,2094.5,627.2,1871.6,2236.0,1850.2,1929.5,299.7,1721.3,1813.7,1559.9,1886.4,2136.3,1684.5,1850.0,,,,,,,,,,,,,,,,,4000
0 days 17:16:00,305.1,2030.3,2134.9,1994.6,2098.4,1848.1,1891.1,2299.5,306.1,2044.3,2046.4,1994.4,2218.9,1986.9,1991.8,2353.3,300.0,2071.3,2158.0,2287.1,2371.7,2198.0,2075.9,2142.5,312.2,2107.0,2208.3,2188.5,2303.9,2120.6,1974.5,2199.3,308.8,1775.1,1990.3,1778.2,2166.7,1835.1,1956.2,1963.5,313.4,1824.0,2032.1,2201.3,2084.4,1903.6,1944.7,1975.6,303.4,1692.1,1634.5,1794.5,2047.3,1930.4,1898.0,1760.3,304.4,1654.4,1566.9,1638.5,2049.3,2097.9,1945.0,1827.2,301.3,1990.0,1792.4,1969.3,1948.9,2035.6,1982.9,1987.8,306.6,1812.8,1725.5,2162.6,1814.6,2077.9,1997.0,1865.1,303.8,2008.7,2060.6,2237.7,2247.5,2168.7,2004.4,2128.6,305.7,2217.4,2126.1,2252.1,2129.1,2119.5,2011.1,2170.1,306.9,1881.1,1791.6,2147.9,2133.5,1989.5,1955.7,1767.2,311.2,1976.9,1798.6,2135.0,2338.5,2016.7,2031.0,2038.3,2035.0,1618.9,2033.4,1786.8,2061.7,1634.4,2085.5,1708.6,,,,,,,,,,,,,,,,,306.3,2099.0,1922.3,2272.6,2122.2,1791.5,1928.9,2197.5,311.4,1937.4,1974.8,2232.5,2170.7,1870.7,2053.9,2285.8,,,,,,,,,,,,,,,,,314.0,1886.6,2099.5,627.2,1869.9,2236.6,1852.0,1933.2,299.8,1725.9,1820.7,1560.2,1893.2,2134.2,1678.8,1845.4,,,,,,,,,,,,,,,,,4000
0 days 17:17:00,305.2,2017.1,2123.5,1996.2,2105.0,1860.0,1886.9,2307.2,305.7,2044.5,2052.8,1994.3,2214.6,1997.5,1983.8,2365.3,299.9,2074.0,2160.3,2299.6,2377.9,2183.2,2079.2,2137.6,312.1,2108.7,2221.9,2187.1,2298.7,2132.6,1981.9,2200.3,308.5,1769.2,1986.2,1782.3,2164.7,1839.1,1959.9,1982.2,313.4,1824.7,2031.9,2211.8,2084.0,1907.1,1946.5,1980.3,303.3,1703.3,1641.8,1797.9,2040.9,1914.5,1895.7,1759.0,304.1,1658.4,1562.4,1643.1,2048.1,2091.1,1921.0,1827.9,301.0,1990.7,1794.4,1970.3,1946.5,2037.2,1974.4,1984.6,306.2,1813.3,1720.1,2157.3,1816.0,2069.0,2006.9,1867.9,303.9,2001.5,2056.6,2237.8,2252.9,2160.9,2002.6,2124.5,305.4,2222.4,2121.2,2248.5,2132.9,2126.0,2007.3,2173.1,307.1,1870.3,1794.2,2145.5,2125.0,1994.9,1953.5,1771.9,311.6,1977.8,1806.0,2136.0,2336.9,2013.3,2031.9,2036.8,2032.9,1631.0,2024.3,1778.1,2055.4,1634.6,2095.3,1710.7,,,,,,,,,,,,,,,,,306.2,2092.6,1924.9,2276.3,2121.0,1794.3,1936.0,2192.6,311.2,1946.6,1973.4,2234.5,2173.3,1869.9,2048.3,2291.4,,,,,,,,,,,,,,,,,314.0,1886.1,2094.6,627.7,1874.9,2237.8,1858.9,1931.9,299.7,1729.4,1825.1,1567.6,1881.9,2135.6,1683.6,1848.0,,,,,,,,,,,,,,,,,4000
0 days 17:18:00,305.0,2034.5,2129.4,1994.9,2107.8,1847.1,1892.6,2306.7,306.1,2050.9,2051.4,1999.0,2216.7,1994.8,1979.5,2370.4,299.9,2064.2,2152.7,2297.0,2386.0,2170.4,2078.7,2130.7,312.5,2096.5,2222.1,2177.7,2303.2,2131.7,1977.3,2199.4,308.7,1767.5,1983.7,1789.3,2172.8,1839.7,1959.8,1993.6,313.7,1820.3,2035.7,2211.4,2083.6,1914.9,1947.4,1982.1,303.5,1709.3,1641.4,1795.4,2030.1,1926.7,1897.5,1776.7,304.4,1674.8,1562.2,1651.7,2038.5,2098.1,1924.1,1833.3,300.8,1991.9,1780.5,1972.6,1940.6,2040.4,1963.2,1982.8,306.0,1819.6,1715.4,2150.6,1821.3,2066.3,2020.8,1867.8,303.9,1996.8,2054.7,2237.4,2256.7,2150.3,2010.3,2125.9,305.2,2218.5,2128.0,2252.4,2124.6,2129.3,2005.9,2180.7,307.0,1878.8,1792.6,2146.9,2123.3,1997.5,1948.0,1775.6,311.1,1974.6,1810.0,2138.8,2354.5,2019.4,2033.3,2035.9,2033.5,1637.2,2017.7,1777.2,2058.8,1635.1,2092.7,1711.1,,,,,,,,,,,,,,,,,306.3,2099.8,1922.9,2268.3,2125.0,1796.4,1929.3,2199.2,311.4,1953.9,1967.9,2224.7,2175.9,1869.2,2046.0,2286.0,,,,,,,,,,,,,,,,,313.9,1878.7,2095.7,628.3,1876.1,2236.0,1860.9,1933.1,299.6,1738.7,1825.1,1565.4,1881.2,2140.5,1688.3,1848.1,,,,,,,,,,,,,,,,,4000
0 days 17:19:00,305.1,2043.9,2125.7,1995.3,2110.0,1843.3,1891.2,2304.4,305.6,2047.8,2063.5,1994.8,2217.0,1991.2,1970.9,2367.7,299.9,2069.9,2159.8,2296.2,2376.3,2161.0,2084.3,2132.8,312.4,2099.1,2222.0,2174.8,2314.0,2128.9,1979.7,2204.2,308.6,1766.8,1984.4,1788.3,2170.2,1840.5,1957.2,2013.1,313.4,1810.8,2037.3,2217.2,2090.3,1910.7,1955.2,1993.7,303.4,1705.8,1645.0,1789.0,2037.4,1933.1,1897.5,1786.7,304.2,1668.8,1566.5,1652.1,2042.8,2098.8,1940.6,1841.4,300.9,1992.6,1791.2,1976.6,1941.8,2055.8,1969.7,1978.3,306.5,1830.7,1708.1,2148.1,1824.5,2058.8,2023.2,1867.5,303.9,1995.2,2048.1,2246.4,2256.1,2149.2,2011.1,2137.6,305.7,2206.8,2131.0,2253.6,2129.3,2128.0,2006.1,2178.7,307.1,1876.5,1785.9,2145.8,2139.9,2000.7,1943.6,1777.7,311.5,1979.1,1810.2,2145.1,2344.4,2017.4,2030.3,2041.3,2032.5,1641.4,2020.5,1778.4,2066.6,1633.7,2092.9,1712.2,,,,,,,,,,,,,,,,,306.2,2109.7,1917.7,2270.9,2124.6,1791.5,1921.3,2198.6,311.1,1957.8,1960.5,2221.7,2179.2,1877.6,2051.9,2284.4,,,,,,,,,,,,,,,,,313.9,1885.5,2097.3,628.5,1878.8,2235.9,1855.7,1932.9,299.8,1733.4,1827.9,1564.4,1881.6,2139.2,1689.7,1842.9,,,,,,,,,,,,,,,,,4000
0 days 17:20:00,305.1,2045.5,2124.7,1999.7,2108.1,1849.3,1901.1,2311.6,306.0,2045.8,2057.8,1997.1,2218.0,1981.7,1982.8,2364.7,299.9,2069.0,2173.1,2294.6,2381.3,2161.6,2082.8,2136.5,312.5,2091.4,2211.5,2173.8,2308.0,2134.3,1977.6,2213.7,308.7,1764.7,1988.8,1779.7,2166.1,1840.6,1957.3,2004.8,313.7,1817.4,2038.3,2221.1,2104.1,1906.0,1950.1,1990.7,303.5,1691.8,1640.2,1784.8,2045.1,1921.0,1883.7,1792.3,304.2,1676.8,1579.1,1647.1,2047.2,2102.8,1948.3,1837.0,301.0,1992.7,1786.1,1982.6,1956.1,2051.3,1977.5,1980.4,306.1,1831.3,1705.5,2159.6,1812.1,2047.5,2028.2,1870.0,303.9,1988.3,2053.4,2254.5,2256.6,2146.5,2013.1,2138.1,305.3,2223.2,2133.1,2252.5,2131.7,2130.0,2009.7,2181.2,307.0,1881.9,1777.5,2151.1,2136.5,2000.7,1948.3,1777.5,311.0,1978.1,1812.7,2148.0,2338.1,2011.9,2029.9,2044.2,2032.1,1640.6,2028.1,1781.0,2067.7,1637.6,2083.6,1711.5,,,,,,,,,,,,,,,,,306.3,2104.4,1921.8,2276.2,2124.2,1783.3,1910.6,2205.2,311.5,1959.0,1961.2,2232.2,2183.9,1881.3,2060.4,2282.8,,,,,,,,,,,,,,,,,313.8,1891.0,2093.2,628.4,1876.6,2234.6,1847.5,1932.4,299.6,1740.3,1828.7,1566.8,1867.9,2148.4,1689.1,1841.9,,,,,,,,,,,,,,,,,4000
0 days 17:21:00,305.2,2051.2,2123.7,2002.1,2110.2,1833.9,1916.4,2306.0,305.8,2041.0,2049.7,1996.6,2218.6,1992.6,1981.3,2367.8,299.7,2064.7,2172.8,2301.4,2382.1,2163.5,2091.0,2136.7,312.6,2084.5,2217.1,2173.7,2302.5,2136.3,1986.4,2213.9,308.8,1762.7,1985.9,1786.1,2154.6,1838.0,1957.7,1985.2,313.6,1813.8,2037.4,2209.6,2106.2,1908.3,1947.5,1996.9,303.3,1694.0,1637.8,1780.0,2043.0,1925.8,1900.2,1787.8,304.2,1683.5,1575.4,1655.8,2047.0,2101.1,1957.8,1830.7,300.9,1990.8,1792.3,1980.5,1964.5,2046.5,1977.6,1979.8,306.2,1832.3,1697.3,2157.2,1824.6,2059.9,2028.3,1875.1,303.7,1978.8,2044.6,2252.0,2253.0,2144.4,2005.4,2129.2,305.1,2218.3,2130.4,2255.4,2135.1,2123.1,2012.2,2175.5,307.1,1886.4,1779.8,2145.8,2135.0,1997.3,1941.6,1779.5,311.5,1977.1,1798.3,2146.3,2325.9,2011.2,2040.4,2045.3,2033.9,1637.1,2031.1,1785.1,2065.6,1642.8,2084.2,1707.7,,,,,,,,,,,,,,,,,306.0,2102.5,1919.2,2281.2,2124.6,1781.4,1912.9,2196.3,311.1,1955.5,1967.2,2219.9,2183.2,1879.1,2061.5,2290.2,,,,,,,,,,,,,,,,,314.0,1888.7,2088.2,628.2,1868.5,2237.8,1842.6,1930.8,299.7,1750.1,1836.0,1561.2,1868.0,2143.3,1681.7,1840.0,,,,,,,,,,,,,,,,,4000
0 days 17:22:00,305.1,2057.3,2120.4,1993.2,2115.6,1826.4,1913.2,2301.5,306.2,2033.6,2042.3,1997.7,2221.6,1996.5,1968.2,2360.5,299.7,2056.0,2168.7,2301.9,2365.3,2158.5,2094.8,2138.8,312.1,2073.1,2224.1,2178.0,2301.9,2142.7,1990.6,2214.3,308.4,1760.3,1986.7,1778.7,2146.2,1832.1,1957.4,2001.1,313.6,1818.7,2041.4,2214.4,2116.3,1910.3,1950.3,2006.2,303.5,1702.7,1637.1,1778.1,2042.6,1927.9,1902.6,1800.2,304.5,1688.0,1581.8,1642.2,2043.1,2108.9,1946.7,1831.9,301.1,1988.3,1788.3,1977.8,1959.9,2038.7,1963.8,1973.1,306.4,1838.1,1697.1,2167.1,1825.0,2052.2,2025.1,1881.0,303.8,1983.3,2045.3,2254.9,2254.5,2149.5,2012.0,2119.5,305.2,2216.8,2122.6,2256.3,2138.1,2126.0,2013.8,2175.0,307.0,1882.4,1779.9,2150.5,2141.1,2000.1,1941.0,1782.8,311.1,1976.9,1793.9,2144.5,2323.9,2007.3,2039.5,2041.4,2035.4,1635.3,2031.0,1787.8,2063.2,1646.1,2089.0,1702.6,,,,,,,,,,,,,,,,,306.1,2105.9,1919.2,2287.3,2121.9,1789.1,1925.5,2197.5,311.0,1955.1,1963.7,2230.7,2182.9,1884.3,2066.4,2293.1,,,,,,,,,,,,,,,,,313.9,1896.7,2095.9,628.7,1869.7,2245.5,1838.5,1927.2,299.6,1746.1,1830.7,1567.7,1876.0,2138.5,1673.2,1847.8,,,,,,,,,,,,,,,,,4000
0 days 17:23:00,305.2,2051.2,2129.7,1988.3,2116.5,1827.7,1898.6,2303.3,305.9,2024.6,2033.8,2004.5,2226.3,2004.0,1971.1,2359.5,299.9,2076.4,2164.8,2300.9,2371.6,2158.1,2090.8,2136.2,312.4,2079.4,2221.5,2180.1,2301.4,2133.8,1987.6,2214.9,308.7,1760.5,1990.9,1774.0,2141.8,1834.9,1964.8,1988.2,313.6,1818.0,2043.9,2193.9,2115.5,1914.4,1946.6,2018.3,303.4,1707.2,1640.1,1777.0,2034.8,1944.9,1901.8,1793.0,304.1,1668.9,1588.8,1642.3,2054.1,2098.2,1944.9,1832.1,301.2,1992.1,1787.9,1974.2,1976.6,2030.8,1966.8,1968.1,306.0,1839.7,1691.9,2172.2,1830.3,2032.0,2023.8,1879.7,303.8,1991.7,2059.5,2243.1,2255.6,2160.2,2015.7,2114.8,305.2,2217.4,2123.3,2256.4,2138.0,2130.8,2009.1,2172.2,307.0,1879.1,1778.0,2147.9,2140.2,1997.4,1951.7,1787.7,311.5,1978.3,1803.7,2142.6,2320.6,2008.4,2044.1,2043.4,2038.4,1640.6,2034.5,1789.3,2063.7,1632.6,2090.8,1709.3,,,,,,,,,,,,,,,,,306.2,2103.5,1908.9,2289.0,2128.5,1794.3,1923.9,2196.7,311.4,1950.8,1963.4,2227.2,2184.3,1892.5,2068.1,2299.5,,,,,,,,,,,,,,,,,314.0,1892.6,2101.4,628.4,1869.0,2237.2,1840.3,1922.8,299.6,1752.0,1827.6,1571.9,1882.2,2138.8,1670.3,1855.3,,,,,,,,,,,,,,,,,4000
0 days 17:24:00,305.2,2054.1,2122.8,1983.9,2123.0,1831.3,1891.1,2306.4,306.1,2026.2,2037.8,1998.2,2232.2,2011.0,1982.4,2364.8,299.9,2072.9,2164.5,2307.5,2356.1,2158.2,2084.1,2139.6,312.3,2074.7,2222.4,2181.9,2289.1,2122.2,1993.1,2217.3,308.5,1764.6,1993.0,1784.2,2138.8,1836.9,1967.3,1967.2,313.6,1825.0,2049.0,2174.4,2120.4,1916.5,1944.6,2018.9,303.5,1697.0,1639.1,1774.3,2023.3,1934.4,1911.2,1785.5,304.2,1664.8,1592.9,1650.5,2064.4,2094.0,1959.4,1833.4,301.3,1995.1,1784.7,1972.9,1992.4,2034.1,1966.2,1957.6,306.5,1844.2,1691.2,2168.6,1832.4,2002.0,2030.9,1880.0,303.8,1990.7,2057.5,2239.0,2250.2,2166.7,2018.3,2113.6,305.5,2210.7,2122.4,2249.4,2144.0,2126.4,2015.9,2162.9,307.0,1877.5,1779.4,2142.8,2148.0,1996.2,1956.0,1781.9,311.3,1983.7,1800.9,2137.8,2333.4,2016.6,2041.1,2042.0,2038.5,1632.0,2035.8,1794.2,2063.0,1641.7,2101.5,1709.1,,,,,,,,,,,,,,,,,306.1,2111.1,1904.8,2294.5,2130.3,1792.0,1923.8,2199.3,311.1,1942.1,1962.0,2231.0,2186.5,1890.0,2073.7,2311.8,,,,,,,,,,,,,,,,,313.9,1898.0,2096.2,628.4,1866.8,2240.7,1845.0,1926.1,299.9,1756.9,1826.0,1580.6,1889.5,2139.4,1672.1,1852.8,,,,,,,,,,,,,,,,,4000
0 days 17:25:00,305.1,2054.5,2110.8,1984.9,2119.4,1841.8,1888.9,2305.5,305.9,2025.6,2034.1,1998.6,2239.2,2013.7,1981.7,2367.7,299.9,2072.0,2167.0,2310.6,2362.7,2151.3,2098.6,2137.4,312.0,2084.5,2227.7,2172.6,2282.4,2127.2,1997.0,2214.2,308.7,1760.3,1989.5,1778.6,2137.7,1838.0,1961.2,1982.8,313.6,1820.8,2049.6,2161.9,2111.3,1919.3,1948.2,2020.5,303.2,1692.3,1650.1,1779.6,2026.8,1937.3,1908.5,1778.9,304.3,1662.8,1597.4,1645.1,2058.2,2095.3,1950.7,1831.1,301.0,1986.7,1782.0,1979.2,2004.2,2051.8,1972.7,1958.4,306.4,1838.1,1701.1,2167.2,1817.3,1987.6,2021.0,1873.3,303.7,2002.3,2051.7,2239.1,2249.1,2169.2,2015.7,2101.2,305.1,2210.7,2114.9,2252.0,2138.5,2128.9,2014.4,2157.2,307.0,1881.0,1771.4,2146.4,2159.4,1988.5,1956.2,1775.7,311.6,1982.4,1802.5,2142.8,2342.6,2010.9,2043.8,2047.8,2040.2,1632.7,2034.6,1789.6,2060.3,1653.5,2090.7,1705.4,,,,,,,,,,,,,,,,,306.4,2108.1,1902.5,2309.7,2135.2,1793.3,1929.8,2203.6,311.4,1948.4,1969.0,2229.7,2192.6,1886.3,2066.6,2308.6,,,,,,,,,,,,,,,,,313.8,1897.6,2100.3,628.5,1864.5,2235.5,1849.3,1927.5,299.5,1756.1,1829.3,1578.2,1899.9,2152.1,1675.5,1854.7,,,,,,,,,,,,,,,,,4000
0 days 17:26:00,305.1,2052.5,2108.1,1976.5,2116.2,1830.7,1900.9,2303.2,305.9,2028.5,2038.1,1992.8,2238.1,2013.2,1996.2,2382.6,299.9,2078.3,2165.1,2314.1,2373.4,2139.3,2095.3,2141.0,312.5,2077.7,2228.9,2166.3,2284.9,2141.5,2003.3,2210.8,308.7,1766.3,1990.6,1774.4,2135.1,1837.8,1965.1,1985.7,313.2,1820.0,2049.0,2165.1,2113.9,1922.6,1942.2,2015.7,303.3,1699.5,1644.1,1781.5,2043.5,1947.9,1898.3,1792.1,304.0,1673.4,1605.1,1648.8,2061.6,2087.2,1956.7,1834.8,300.9,1985.7,1790.1,1986.4,2010.2,2055.5,1961.9,1961.8,306.1,1847.3,1703.8,2169.8,1806.5,1997.3,2018.5,1874.2,303.7,1999.6,2049.1,2234.6,2253.5,2173.4,2015.9,2109.4,305.6,2204.0,2116.2,2248.4,2137.2,2131.2,2010.0,2163.9,307.0,1886.0,1771.1,2153.2,2157.4,1986.2,1956.8,1773.5,311.1,1980.7,1796.4,2148.6,2321.5,2022.3,2043.6,2050.3,2038.4,1623.9,2037.2,1785.7,2057.0,1641.9,2091.2,1713.3,,,,,,,,,,,,,,,,,306.1,2115.0,1899.6,2314.2,2138.0,1798.9,1929.3,2215.9,311.1,1954.0,1974.1,2229.7,2198.2,1875.1,2067.5,2313.2,,,,,,,,,,,,,,,,,313.9,1899.3,2097.7,628.3,1868.7,2242.3,1857.4,1930.5,299.8,1755.7,1826.8,1573.6,1891.9,2158.2,1672.2,1859.4,,,,,,,,,,,,,,,,,4000
0 days 17:27:00,305.1,2047.3,2105.6,1975.5,2108.5,1828.5,1900.1,2298.1,306.0,2029.8,2032.7,1999.3,2239.4,2008.7,2004.2,2380.1,299.9,2082.4,2168.9,2315.7,2388.5,2143.8,2091.0,2139.3,312.3,2054.3,2229.6,2160.7,2282.9,2155.6,2002.4,2206.9,308.7,1769.4,1995.2,1763.2,2136.5,1833.8,1959.3,1985.1,313.7,1819.1,2060.0,2161.7,2113.2,1920.1,1943.5,2021.8,303.2,1686.1,1633.1,1785.7,2051.7,1944.4,1905.1,1794.8,304.3,1669.1,1607.7,1649.2,2050.9,2095.5,1943.3,1838.2,301.1,1987.2,1798.6,1975.4,2016.9,2066.0,1960.5,1948.5,306.6,1845.5,1709.5,2166.8,1823.4,1986.9,2008.9,1868.7,303.8,2009.2,2029.1,2228.8,2252.0,2173.6,2018.3,2109.9,305.5,2206.4,2125.0,2252.2,2138.9,2132.4,2007.3,2176.9,307.0,1887.9,1775.7,2160.1,2171.9,1990.0,1956.5,1771.0,311.6,1990.4,1790.8,2144.9,2306.4,2028.2,2052.5,2049.6,2036.7,1627.7,2038.8,1791.7,2050.3,1642.3,2085.5,1717.7,,,,,,,,,,,,,,,,,306.1,2117.2,1896.4,2311.7,2135.6,1789.3,1926.8,2220.4,311.4,1961.4,1974.1,2223.1,2193.3,1879.6,2069.0,2306.3,,,,,,,,,,,,,,,,,313.8,1901.3,2094.9,628.3,1870.6,2246.2,1857.0,1934.9,299.6,1755.0,1832.6,1570.4,1886.8,2163.7,1666.8,1860.3,,,,,,,,,,,,,,,,,4000
0 days 17:28:00,305.1,2046.9,2110.8,1975.3,2108.6,1833.5,1894.5,2294.2,305.6,2040.0,2038.4,1995.0,2236.6,2005.8,2006.4,2369.5,299.9,2070.8,2177.1,2325.9,2383.6,2143.1,2093.2,2137.7,312.6,2054.6,2229.5,2160.3,2277.8,2163.2,2013.2,2200.8,308.6,1773.8,2003.8,1772.9,2132.0,1823.8,1959.3,1983.3,313.2,1834.0,2056.7,2154.6,2120.9,1918.8,1944.2,2009.4,303.3,1674.5,1643.0,1788.4,2048.9,1928.8,1908.4,1789.3,304.1,1677.4,1605.8,1657.0,2054.9,2091.5,1948.2,1840.5,301.0,1982.2,1809.4,1969.6,2016.5,2052.3,1959.0,1943.1,306.0,1849.0,1697.4,2167.9,1832.9,1976.9,2013.0,1871.1,303.6,2015.7,2032.4,2232.5,2254.1,2176.6,2023.7,2111.6,305.5,2212.6,2126.1,2253.9,2136.4,2126.7,2003.6,2175.0,307.0,1889.7,1785.1,2155.5,2165.4,1982.9,1953.4,1770.2,311.0,1986.4,1792.6,2145.9,2309.0,2017.2,2048.8,2051.9,2035.9,1633.0,2042.8,1796.2,2045.3,1643.5,2079.2,1715.3,,,,,,,,,,,,,,,,,306.2,2123.7,1896.7,2305.2,2137.7,1797.2,1928.0,2221.1,311.1,1960.9,1970.9,2222.2,2195.8,1879.5,2071.1,2301.2,,,,,,,,,,,,,,,,,313.9,1905.9,2097.3,628.4,1870.3,2248.6,1858.9,1929.0,299.6,1752.9,1830.8,1564.8,1885.2,2158.1,1656.2,1860.3,,,,,,,,,,,,,,,,,4000
0 days 17:29:00,305.1,2042.6,2111.4,1975.3,2111.9,1819.3,1904.3,2294.4,305.7,2054.3,2044.3,1993.0,2239.2,2000.4,1997.5,2379.9,299.9,2081.0,2189.4,2330.5,2370.9,2146.2,2088.3,2135.7,312.3,2051.9,2226.6,2156.7,2276.6,2160.0,2012.8,2206.7,308.8,1775.4,1997.8,1772.4,2140.0,1827.6,1962.9,1987.7,313.6,1840.5,2058.2,2158.3,2124.8,1916.4,1944.9,2021.3,303.1,1677.6,1649.5,1790.6,2038.3,1929.2,1918.3,1787.7,304.3,1678.9,1611.9,1656.1,2060.3,2095.4,1953.9,1837.2,300.9,1990.6,1806.4,1966.3,2005.5,2046.3,1957.9,1946.6,306.6,1848.2,1695.3,2169.9,1837.7,1982.6,2015.4,1863.7,303.7,2022.0,2035.5,2221.5,2254.7,2180.3,2026.9,2114.4,305.5,2217.7,2131.6,2257.2,2138.5,2128.0,2006.3,2184.4,307.1,1892.0,1782.0,2155.9,2169.2,1994.1,1952.0,1774.0,311.5,1986.3,1784.0,2135.9,2308.7,2014.5,2051.4,2048.6,2037.7,1642.9,2049.2,1799.7,2050.4,1638.5,2097.0,1708.7,,,,,,,,,,,,,,,,,306.3,2119.3,1896.1,2305.9,2138.2,1795.0,1931.6,2230.8,311.5,1970.5,1970.9,2222.8,2195.2,1886.5,2067.9,2300.7,,,,,,,,,,,,,,,,,313.9,1904.2,2097.4,628.8,1874.2,2262.1,1853.4,1929.6,299.8,1758.8,1831.8,1563.0,1888.2,2172.4,1663.6,1856.7,,,,,,,,,,,,,,,,,4000
